,id,price,address,city,state,zipcode,type,beds,baths,sqft,latitude,longitude,url,broker
1509,12770410,599000,821 E Downington Ave,Salt Lake City,UT,84105,SINGLE_FAMILY,3.0,2.0,2111.0,40.73088,-111.86736,https://www.zillow.com/homedetails/821-E-Downington-Ave-Salt-Lake-City-UT-84105/12770410_zpid/,Plumb & Company Realtors LLP
1510,12767313,849900,1477 S Ken Rey St,Salt Lake City,UT,84108,SINGLE_FAMILY,4.0,3.0,3126.0,40.737514,-111.83429,https://www.zillow.com/homedetails/1477-S-Ken-Rey-St-Salt-Lake-City-UT-84108/12767313_zpid/,Coldwell Banker Realty
1511,12713483,199999,1860 W 500 N APT 8,Salt Lake City,UT,84116,CONDO,1.0,1.0,627.0,40.7805,-111.944084,https://www.zillow.com/homedetails/1860-W-500-N-APT-8-Salt-Lake-City-UT-84116/12713483_zpid/,Coldwell Banker Realty
1512,305057196,375000,342 W Lucy Ave,Salt Lake City,UT,84101,SINGLE_FAMILY,2.0,1.0,1468.0,40.742813,-111.90101,https://www.zillow.com/homedetails/342-W-Lucy-Ave-Salt-Lake-City-UT-84101/305057196_zpid/,RE/MAX Associates
1513,12715596,399000,734 W 300 N,Salt Lake City,UT,84116,SINGLE_FAMILY,2.0,1.0,1926.0,40.776264,-111.9123,https://www.zillow.com/homedetails/734-W-300-N-Salt-Lake-City-UT-84116/12715596_zpid/,RE/MAX Associates
1514,2133551566,699000,268 I St,Salt Lake City,UT,84103,SINGLE_FAMILY,5.0,2.0,2669.0,40.7756,-111.871315,https://www.zillow.com/homedetails/268-I-St-Salt-Lake-City-UT-84103/2133551566_zpid/,Berkshire Hathaway HomeServices
1515,69224686,599900,357 W Reed Ave,Salt Lake City,UT,84103,SINGLE_FAMILY,3.0,3.0,1954.0,40.785397,-111.90156,https://www.zillow.com/homedetails/357-W-Reed-Ave-Salt-Lake-City-UT-84103/69224686_zpid/,Dwellings Real Estate
1516,12717515,1600000,36 E Dartmoor Pl,Salt Lake City,UT,84103,SINGLE_FAMILY,4.0,5.0,7070.0,40.789906,-111.89015,https://www.zillow.com/homedetails/36-E-Dartmoor-Pl-Salt-Lake-City-UT-84103/12717515_zpid/,Equity Real Estate
1517,12754341,1591500,657 S 700 E,Salt Lake City,UT,84102,MULTI_FAMILY,7.0,5.0,3460.0,40.75507,-111.87066,https://www.zillow.com/homedetails/657-S-700-E-Salt-Lake-City-UT-84102/12754341_zpid/,Align Complete Real Estate Services LLC
1518,12774293,440000,2257 S 600 E,Salt Lake City,UT,84106,SINGLE_FAMILY,2.0,1.0,819.0,40.72187,-111.873566,https://www.zillow.com/homedetails/2257-S-600-E-Salt-Lake-City-UT-84106/12774293_zpid/,"Homeworks Property Lab, LLC"
1519,12761305,799000,1456 E 1300 S,Salt Lake City,UT,84105,SINGLE_FAMILY,3.0,2.0,2209.0,40.741383,-111.84924,https://www.zillow.com/homedetails/1456-E-1300-S-Salt-Lake-City-UT-84105/12761305_zpid/,Market Source Real Estate LLC
1521,12784290,899000,2860 S Preston St,Salt Lake City,UT,84106,SINGLE_FAMILY,5.0,3.0,2800.0,40.70891,-111.836334,https://www.zillow.com/homedetails/2860-S-Preston-St-Salt-Lake-City-UT-84106/12784290_zpid/,RE/MAX Associates
1522,2061608507,500000,360 W Broadway UNIT 603,Salt Lake City,UT,84101,CONDO,2.0,1.0,723.0,40.76338,-111.901634,https://www.zillow.com/homedetails/360-W-Broadway-UNIT-603-Salt-Lake-City-UT-84101/2061608507_zpid/,"Homeworks Property Lab, LLC"
1523,2060902096,429900,163 W 200th St S #210,Salt Lake City,UT,84101,CONDO,2.0,1.0,793.0,40.76452,-111.89614,https://www.zillow.com/homedetails/163-W-200th-St-S-210-Salt-Lake-City-UT-84101/2060902096_zpid/,Equity Real Estate
1525,12772106,499900,451 E Bryan Ave,Salt Lake City,UT,84115,SINGLE_FAMILY,3.0,3.0,1612.0,40.73583,-111.87798,https://www.zillow.com/homedetails/451-E-Bryan-Ave-Salt-Lake-City-UT-84115/12772106_zpid/,Thomas & Associates Inc
1526,89431929,480000,417 E 300 S APT 11,Salt Lake City,UT,84111,CONDO,2.0,1.0,1033.0,40.76335,-111.87905,https://www.zillow.com/homedetails/417-E-300-S-APT-11-Salt-Lake-City-UT-84111/89431929_zpid/,Summit Sotheby Realty
1527,12756120,486900,539 E Hawthorne Ave,Salt Lake City,UT,84102,SINGLE_FAMILY,2.0,2.0,1449.0,40.75729,-111.87542,https://www.zillow.com/homedetails/539-E-Hawthorne-Ave-Salt-Lake-City-UT-84102/12756120_zpid/,Black Diamond Realty
1528,2070785613,563900,121 N I St E,Salt Lake City,UT,84103,SINGLE_FAMILY,3.0,2.0,2079.0,40.772305,-111.87188,https://www.zillow.com/homedetails/121-N-I-St-E-Salt-Lake-City-UT-84103/2070785613_zpid/,Rize Property Management
1529,2062285191,159000,1660 W Indian Summer Dr,Salt Lake City,UT,84116,MANUFACTURED,3.0,2.0,1344.0,40.77586,-111.938156,https://www.zillow.com/homedetails/1660-W-Indian-Summer-Dr-Salt-Lake-City-UT-84116/2062285191_zpid/,Masters Utah Real Estate
1530,12712282,489900,1273 N Colorado St,Salt Lake City,UT,84116,SINGLE_FAMILY,4.0,2.0,1817.0,40.796352,-111.93047,https://www.zillow.com/homedetails/1273-N-Colorado-St-Salt-Lake-City-UT-84116/12712282_zpid/,Fathom Realty
1531,12765253,650000,1979 E Westminster Ave,Salt Lake City,UT,84108,SINGLE_FAMILY,3.0,2.0,2235.0,40.729385,-111.834076,https://www.zillow.com/homedetails/1979-E-Westminster-Ave-Salt-Lake-City-UT-84108/12765253_zpid/,"Kelly Right Real Estate of Utah, LLC"
1532,12717742,890000,830 N Grandridge Ct,Salt Lake City,UT,84103,CONDO,4.0,4.0,3682.0,40.78587,-111.87744,https://www.zillow.com/homedetails/830-N-Grandridge-Ct-Salt-Lake-City-UT-84103/12717742_zpid/,cityhome COLLECTIVE
1533,12739014,369900,1224 W Illinois Ave,Salt Lake City,UT,84104,SINGLE_FAMILY,3.0,2.0,1018.0,40.744278,-111.926735,https://www.zillow.com/homedetails/1224-W-Illinois-Ave-Salt-Lake-City-UT-84104/12739014_zpid/,Coldwell Banker Realty
1536,12719175,459000,123 E 2nd Ave APT T7,Salt Lake City,UT,84103,TOWNHOUSE,2.0,3.0,1344.0,40.772095,-111.88698,https://www.zillow.com/homedetails/123-E-2nd-Ave-APT-T7-Salt-Lake-City-UT-84103/12719175_zpid/,Homie
